Team,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers,Division
Patrol,3,Paul Klimkowski,,,1,,,1,Open
Patrol,8,Nick Patel,,"5'7""",5,2,1,2,Open
Patrol,9,Himalaya Mehta,,"6'0""",15,8,,3,Open
Patrol,10,Ethan Fortin,,,5,7,,3,Open
Patrol,11,Alex Atkins,,,,8,,2,Open
Patrol,13,Quinn Hunziker,,,4,7,,2,Open
Patrol,16,Trevor Griesman,,"6'2""",,4,,1,Open
Patrol,18,William (Billy) Sickles,,,11,13,2,1,Open
Patrol,19,Tom Allen,,,3,1,1,8,Open
Patrol,20,David Baer,,"5'9""",2,11,1,3,Open
Patrol,21,Francisco Gomez,,"6'5""",,1,,,Open
Patrol,24,Ethan Peck,,"1'0""",11,12,3,8,Open
Patrol,27,Jake Rainwater,,,8,3,,3,Open
Patrol,38,TJ Stanton,,"6'0""",1,1,,1,Open
Patrol,44,Tom O'Connor,,,1,1,,,Open
Patrol,45,Nicholas DiGiorgio,,"5'8""",3,2,,1,Open
Patrol,48,Ryan Weaver,,"6'1""",1,5,,4,Open
Patrol,52,Connor Russell,,"6'5""",10,18,1,6,Open
Patrol,55,Matt Paparone,,,2,1,,,Open
Patrol,61,Daniel Hartsoe,,"1'0""",1,2,,1,Open
Patrol,69,Peter Burt,,"2'6""",3,2,2,1,Open
Patrol,76,Trevor Lynch,,"6'1""",2,,,,Open
Patrol,77,Ryan Brown,,,9,1,,1,Open
Patrol,91,Vincent Reydams,,,5,1,,,Open
Patrol,96,Casey Vaughn,,"5'11""",,1,,,Open
Brute Squad,0,Alexandra Ode,,"5'8""",9,4,,1,Women
Brute Squad,2,Sophie Hulbert,,,5,2,4,4,Women
Brute Squad,3,Courtney Verhaalen,,,7,3,7,4,Women
Brute Squad,4,Lien Hoffmann,,"5'6""",26,9,8,9,Women
Brute Squad,5,Julianna Werffeli,,,7,16,8,18,Women
Brute Squad,6,Claudia Tajima,,"5'6""",4,15,3,8,Women
Brute Squad,7,Kami Groom,,,26,20,21,14,Women
Brute Squad,10,Amber Sinicrope,,"1'0""",13,44,6,22,Women
Brute Squad,12,Nicole Canning,,"1'0""",16,1,6,3,Women
Brute Squad,13,Becky Malinowski,,,16,14,4,10,Women
Brute Squad,14,Tulsa Douglas,,"5'9""",4,10,11,12,Women
Brute Squad,17,Angela Zhu,,"1'0""",7,24,15,24,Women
Brute Squad,21,Chelsea Murphy,,"5'3""",7,4,7,9,Women
Brute Squad,22,Victoria Negus,,,4,,2,2,Women
Brute Squad,26,Elana Schwam,,"5'4""",20,12,7,6,Women
Brute Squad,27,Jessie Grignon Tomas,,"5'7""",27,3,4,18,Women
Brute Squad,28,Shellie Cohen,,,4,9,4,11,Women
Brute Squad,29,Caitlyn Lee,Handler,,20,12,8,9,Women
Brute Squad,32,Megan Wilson,,,,2,,6,Women
Brute Squad,37,Lauren Sadler,,"5'2""",4,2,6,4,Women
Brute Squad,38,Hannah Henkin,,,2,2,,10,Women
Brute Squad,39,Sydney Dobkin,,,,,,,Women
Brute Squad,42,Rachel Kramer,Cutter,,4,6,4,1,Women
Brute Squad,46,Jojo Emerson,Handler,"1'0""",2,17,4,12,Women
Brute Squad,52,Caitlin O'Connell,,,6,2,3,,Women
Brute Squad,71,Cassandra Wong,,"5'3""",11,11,6,13,Women
Brute Squad,83,Alyson Steinfeld,,"5'11""",2,7,4,8,Women
Fury,0,Marika Austin,,,16,2,6,3,Women
Fury,0,Amel Awadelkarim,,"5'5""",7,11,4,7,Women
Fury,0,Meeri Chang,,"5'3""",2,8,1,4,Women
Fury,0,Diana Charrier,,,2,,2,,Women
Fury,0,Lisa Couper,,,14,2,3,1,Women
Fury,0,Yelena Gorlin,,,8,3,,4,Women
Fury,0,Sarah Griffith,,,16,2,5,9,Women
Fury,0,Kirstin Johnson,,"5'4""",4,7,4,11,Women
Fury,0,Bethany Kaylor,,"1'0""",9,16,5,7,Women
Fury,0,Sharon Lin,,"5'1""",1,,,1,Women
Fury,0,Magon Liu,,"5'4""",7,6,2,6,Women
Fury,0,Claire McKeever,,"5'3""",5,5,4,2,Women
Fury,0,Marisa Mead,,,,5,1,4,Women
Fury,0,Octavia Payne,,,7,10,6,6,Women
Fury,0,Anna Reed,,,1,9,4,8,Women
Fury,0,Katie Ryan,,,5,,2,,Women
Fury,4,Alex Snyder,,,1,15,1,7,Women
Fury,5,Kaela Helton,,,5,11,8,2,Women
Fury,8,Nancy Sun,,,1,7,1,7,Women
Fury,10,Genevieve Laroche,,,,,,,Women
Fury,13,Cree Howard,,,14,11,4,10,Women
Fury,15,Alden Fletcher,,,3,,3,3,Women
Fury,20,Andrea Romano,,,1,5,1,2,Women
Fury,27,Ness Fajardo,,"5'6""",,,,,Women
Fury,33,Anna Nazarov,,,10,5,4,10,Women
Fury,42,Darragh Clancy,,,9,1,1,1,Women
Fury,44,Maggie Ruden,,,12,7,2,4,Women
Fury,61,Lakshmi Narayan,,,10,3,4,3,Women
Fury,77,Carolyn Finney,,"1'0""",7,22,6,16,Women
Molly Brown,0,Melissa Devlin,,,1,5,2,1,Women
Molly Brown,2,Jesse Shofner,,,8,13,3,7,Women
Molly Brown,3,Maggie Chen,,"5'6""",9,5,1,1,Women
Molly Brown,4,Liza Minor,,,23,11,,8,Women
Molly Brown,5,Nhi Nguyen,,"5'5""",11,1,1,2,Women
Molly Brown,6,Samantha Peletier,,,7,5,2,4,Women
Molly Brown,7,Paige Applegate,,"5'7""",8,21,7,14,Women
Molly Brown,8,Victoria Elmore,,"5'7""",5,1,4,2,Women
Molly Brown,10,Lauren Baecher,,,2,4,1,4,Women
Molly Brown,11,Dena Slattery,,,4,17,6,2,Women
Molly Brown,12,Liz Kaloupek,,"5'5""",10,,1,3,Women
Molly Brown,13,Alika Johnston,,"5'4""",7,5,2,5,Women
Molly Brown,15,Sara Taggart,,,10,15,3,13,Women
Molly Brown,16,Megan Cousins,,"5'6""",,3,,,Women
Molly Brown,18,Manuela Cardenas,,,11,18,6,14,Women
Molly Brown,20,Kiera Lindgren,,"5'3""",5,3,5,5,Women
Molly Brown,21,Chelsea Twohig,,"5'6""",10,6,5,3,Women
Molly Brown,22,Allysha Dixon,,"5'3""",15,7,3,7,Women
Molly Brown,24,Alex Hardesty,,,2,4,,1,Women
Molly Brown,26,Lisa Pitcaithley,,"3'5""",11,22,5,17,Women
Molly Brown,28,Sally Lambert,,,,,,,Women
Molly Brown,31,Carolyn Vlach,,"5'6""",3,6,1,5,Women
Molly Brown,42,Lisi Lohre,,,10,5,3,4,Women
Molly Brown,44,Stacy Gaskill,,,6,1,4,2,Women
Molly Brown,47,Rebecca Miller,,"5'4""",8,3,7,1,Women
Molly Brown,49,Claire Chastain,,,2,10,8,16,Women
Molly Brown,65,Megan Ives,,"5'6""",5,1,3,3,Women
Molly Brown,91,Hannah Leathers,,,1,2,,,Women
Molly Brown,97,Sarah Pesch,,,2,5,2,5,Women
Seattle Riot,0,Samantha Rodenberg,Cutter,"1'0""",7,2,,,Women
Seattle Riot,1,Kelly Johnson,Handler,,6,9,5,3,Women
Seattle Riot,2,Lucy Williams,,,,1,,1,Women
Seattle Riot,3,Molly Sinnott,,,3,,,,Women
Seattle Riot,5,Paige Soper,Handler,,1,7,,6,Women
Seattle Riot,6,Sarah Griffith,Deep,,,,,,Women
Seattle Riot,7,Calise Cardenas,Deep,,5,,1,3,Women
Seattle Riot,8,Rachel Bradshaw,Deep,,4,2,1,,Women
Seattle Riot,9,Qxhna Titcomb,Handler,"5'7""",,7,3,9,Women
Seattle Riot,10,Shira Stern,Cutter,"5'5""",10,2,1,5,Women
Seattle Riot,11,Nora Landri,Handler/Cutter,,2,,,2,Women
Seattle Riot,12,Callie Mah,Handler,,1,1,1,,Women
Seattle Riot,14,Hana Kawai,Deep,,8,8,2,4,Women
Seattle Riot,15,Bailey Zahniser,Cutter,,4,2,,3,Women
Seattle Riot,16,Cassandra Swafford,Handler/Cutter,,3,4,,1,Women
Seattle Riot,17,Dominique Fontenette,Mid,,5,7,1,3,Women
Seattle Riot,18,Madeline Gilbert,Cutter,"1'0""",3,,,1,Women
Seattle Riot,19,Hannah Kreilkamp,,,5,2,,2,Women
Seattle Riot,20,Kristin (Charlie) Eide,Handler/Cutter,"5'7""",4,4,2,3,Women
Seattle Riot,21,Molly McKeon,Deep,"5'5""",1,,1,,Women
Seattle Riot,22,Jack Verzuh,Dump,"6'0""",11,8,,5,Women
Seattle Riot,23,Aimie Kawai,Cutter,,4,1,,,Women
Seattle Riot,24,Sarah Davis,Handler,,5,,,,Women
Seattle Riot,25,Alyssa Weatherford,Handler,"5'5""",2,19,1,3,Women
Seattle Riot,27,Julia Snyder,Handler,,3,8,1,4,Women
Seattle Riot,29,Lindsey Wilson,,,7,2,1,1,Women
Seattle Riot,31,Stephanie Lim,Handler,,5,7,,3,Women
Seattle Riot,37,Claire Trop,,"5'6""",11,5,5,5,Women
Seattle Riot,77,Jillian Goodreau,Mid,,1,,,,Women
Seattle Riot,81,Charlie Mercer,Mid,,6,6,,3,Women
Scandal,,Katey Forth,,,10,2,3,8,Women
Scandal,0,Emma Price,Dump,"5'5""",2,6,,9,Women
Scandal,1,Lindsay Soo,Dump,"5'8""",15,13,11,9,Women
Scandal,2,Laurel Oldershaw,Dump,"5'2""",5,14,6,14,Women
Scandal,3,Edith Teng,Dump,,,3,,2,Women
Scandal,4,Sarah Itoh,Dump,"5'6""",7,5,7,16,Women
Scandal,5,Anne Price,Dump,,,,,,Women
Scandal,6,Lisa Kowalski,Dump,"5'7""",6,12,7,24,Women
Scandal,7,Danielle Byers,Dump,,10,,5,1,Women
Scandal,8,Kristin Franke,Deep,,1,13,8,20,Women
Scandal,9,Jessica O'Connor,Dump,,10,13,5,13,Women
Scandal,11,Nada Tramonte,Dump,,28,19,4,17,Women
Scandal,12,Amy Zhou,Dump,"5'2""",11,16,10,16,Women
Scandal,13,Kathleen Ratcliff,Dump,,4,31,,32,Women
Scandal,14,Colleen Giglia,Dump,"5'4""",6,4,,2,Women
Scandal,17,Caroline Tornquist,Dump,"5'3""",3,5,1,2,Women
Scandal,19,Verena Woloson,Dump,,,1,,,Women
Scandal,20,Casey Gorman,Dump,"5'7""",27,14,4,26,Women
Scandal,22,Lauren Allen,Dump,,20,6,9,4,Women
Scandal,23,Sarah Lord,Dump,"5'5""",8,18,4,11,Women
Scandal,24,Kelly Ross,Dump,"5'10""",37,29,5,23,Women
Scandal,25,Michelle Carey,Dump,,4,13,5,20,Women
Scandal,34,Ingrid Petterson,Dump,"5'7""",9,,10,12,Women
Scandal,44,Keila Strick,Dump,,35,16,4,10,Women
Scandal,50,Hannah Boone,Dump,,9,3,3,1,Women
Scandal,55,Molly Roy,Dump,,15,7,5,7,Women
6ixers,0,Anouchka Beaudry,,,,,,,Women
6ixers,0,Reve Chan,,,,1,,1,Women
6ixers,0,Brittney Dos Santos,,"5'7""",9,4,3,10,Women
6ixers,0,Christine Jurychuk,,,2,,1,1,Women
6ixers,0,Sarah Kidd,,,5,1,2,6,Women
6ixers,0,Sara Mar,,,3,3,,8,Women
6ixers,0,Destin McQuillan,,"1'0""",3,,,4,Women
6ixers,0,Lindsay Musalem,,"1'0""",3,,,2,Women
6ixers,0,Catherine Phillips,,"""",7,19,4,12,Women
6ixers,0,Lana Ramic,,,1,3,1,2,Women
6ixers,0,Lillian Steponaitis,,,4,1,2,4,Women
6ixers,0,Erica Tucker,,,,,,,Women
6ixers,1,Krystal Dos Santos,,"5'5""",,,4,2,Women
6ixers,7,Jeannette Quach,,,2,5,2,1,Women
6ixers,11,Laura Kinoshita,,,3,4,1,2,Women
6ixers,14,Miriam Tingle,,,5,5,3,7,Women
6ixers,16,Jessica Chen,,,2,3,4,4,Women
6ixers,17,Nicolette Bertsch,,"5'7""",3,2,2,1,Women
6ixers,20,Lauren Kimura,,"5'8""",9,24,7,27,Women
6ixers,22,Sarah Bobak,,"5'7""",8,5,2,8,Women
6ixers,28,Jenna McLeod,,,14,,3,1,Women
6ixers,35,Molly Lewis,,,1,9,1,14,Women
6ixers,51,Sarah Innes,,,6,3,1,4,Women
6ixers,90,Jordan Meron,,,5,4,3,6,Women
6ixers,93,Naomi Redmond,,"5'7""",,1,1,1,Women
Ozone,,Madeleine (Maddy) Frey,,"5'7""",11,1,1,5,Women
Ozone,,Erynn Schroeder,,"5'6""",15,3,8,13,Women
Ozone,0,Madison Boyd,,,1,2,2,4,Women
Ozone,0,Sophie Darch,,,5,10,3,14,Women
Ozone,1,Alexandra Fairley,,,5,1,,3,Women
Ozone,2,Emily Lloyd,,,8,2,2,5,Women
Ozone,3,Paige Carver,,"5'0""",11,1,3,8,Women
Ozone,4,Marissa Hicks,,,8,1,4,1,Women
Ozone,5,Lillian Ponitz,,"5'9""",3,1,3,3,Women
Ozone,7,Lane Siedor,,"5'10""",6,3,2,6,Women
Ozone,8,Samantha Daugherty,,,13,6,12,6,Women
Ozone,9,Anraya Palmer,,"1'0""",5,6,2,10,Women
Ozone,11,Kristine Fedorenko,,,3,2,6,3,Women
Ozone,14,Josie Veal,,,5,4,1,3,Women
Ozone,15,Katelyn Travaglini,,,22,14,8,10,Women
Ozone,16,Leah Tsinajinnie,,,,6,2,17,Women
Ozone,19,Kayla Emrick,,,1,5,1,2,Women
Ozone,20,India Stubbs,,,4,21,,16,Women
Ozone,22,Paula Seville,,,5,36,8,27,Women
Ozone,24,Katherine Wooten,,"5'11""",5,20,1,43,Women
Ozone,25,Katherine Hines,,,,,,,Women
Ozone,26,Catherine Woodhurst,,"5'10""",7,10,7,16,Women
Ozone,27,Meg Harris,,,9,3,1,2,Women
Ozone,32,Haley Reese,,"5'9""",11,9,3,8,Women
Ozone,44,Mira Walker,,,,,,,Women
Ozone,69,Allison Snow,,,3,,,2,Women
Ozone,71,Angela Lin,,,,,,,Women
Ozone,91,Jin-Mi Matsunaga,,"5'3""",4,,2,5,Women
Ozone,99,Marie Perivier,,,2,3,1,5,Women
Nightlock,0,Eliza Chang,Cutter,"5'6""",13,5,5,5,Women
Nightlock,0,Manisha Daryani,,,16,23,6,13,Women
Nightlock,0,Alison Griffith,Cutter,"5'8""",3,2,3,5,Women
Nightlock,0,Alexandra Hasan,,"5'8""",6,1,2,6,Women
Nightlock,0,Kimberly Long,,,1,2,1,7,Women
Nightlock,0,Audrey Lyman,Cutter,"1'0""",17,24,4,30,Women
Nightlock,0,Michelle McGhee,Handler,"5'8""",2,6,9,17,Women
Nightlock,0,Michela Meister,,,,,,,Women
Nightlock,0,Maggie O'Connor,,,3,2,,2,Women
Nightlock,0,Megan Pera,,,3,4,6,6,Women
Nightlock,2,Marisa Rafter,Handler,,3,16,7,23,Women
Nightlock,5,Anne Gordon,Cutter,"5'5""",2,2,1,2,Women
Nightlock,7,Claire Sharman,Cutter,,28,5,5,11,Women
Nightlock,8,Rachel Habbert,Handler,"5'4""",8,14,9,16,Women
Nightlock,10,Angela Aie,Handler,,5,10,1,17,Women
Nightlock,11,Iris Leung,Cutter,,18,16,3,10,Women
Nightlock,14,Emmy Kolanz,Cutter,,3,5,4,12,Women
Nightlock,19,Adrienne Lemberger,Cutter,,21,16,4,2,Women
Nightlock,22,Katie Swinnerton,Handler,,,7,2,10,Women
Nightlock,23,Sabrina Fong,Handler,"1'0""",2,17,8,17,Women
Nightlock,24,Natasha Won,Handler,"5'3""",5,16,8,20,Women
Nightlock,27,Kira Lou,Cutter,"1'0""",18,6,4,12,Women
Nightlock,42,Jackelyne Nguyen,Cutter,,8,2,1,3,Women
Nightlock,51,Shayla Harris,Cutter,,20,9,15,11,Women
Nightlock,96,Patricia Anderson,Handler,"5'5""",5,8,6,5,Women
Schwa,0,Seraphie Allen,,"5'8""",,1,,1,Women
Schwa,0,Shea Brennan,,"5'2""",2,12,1,14,Women
Schwa,0,Morgan Caldwell,,,10,2,1,6,Women
Schwa,0,Kimber Coles,,,12,5,4,2,Women
Schwa,0,Shaelynn Davis,,"4'4""",1,,,,Women
Schwa,0,Shannon Dennehy,,"5'6""",4,3,,2,Women
Schwa,0,Madeleine Franz,,,10,2,9,1,Women
Schwa,0,Elizabeth Longmire,,,6,3,5,6,Women
Schwa,0,Emery Otopalik,,"5'7""",2,1,2,1,Women
Schwa,0,Makena Strand,,,2,3,,1,Women
Schwa,0,Georgina Tetlow,,,2,3,1,3,Women
Schwa,0,Katie Weatherhead,Handler,"1'0""",3,3,1,1,Women
Schwa,1,Emily Witt,,,,,,,Women
Schwa,4,Emily Flock,,,3,,,2,Women
Schwa,6,Demri Horton,,,9,5,,2,Women
Schwa,8,Eva Popp,,,5,16,1,13,Women
Schwa,9,Brenna Bailey,,,5,4,2,5,Women
Schwa,12,Mariel Hammond,,,18,22,4,8,Women
Schwa,16,Kristen Rosenblum,,"5'9""",1,1,3,,Women
Schwa,16,Jenica Villamor,,"5'7""",4,2,,8,Women
Schwa,18,Julia Sherwood,Handler,,6,15,2,10,Women
Schwa,22,Natalie Green,Handler,"5'2""",6,6,,3,Women
Schwa,24,Aubri Bishop,,,2,2,2,4,Women
Schwa,25,Lauren Truxillo,,"1'0""",2,6,2,7,Women
Schwa,37,Beckie Zipp,,"5'8""",5,10,1,9,Women
Schwa,77,Sara Stratton,,,3,4,3,5,Women
Schwa,99,Noelle Takahashi,,"5'6""",6,5,3,2,Women
Nemesis,0,Eileen Duffner,,"5'9""",10,4,,11,Women
Nemesis,1,Allison Fish,,,,7,5,14,Women
Nemesis,2,Elizabeth Arakaki,,,2,1,6,6,Women
Nemesis,4,Monica Matsumoto,,,24,19,3,13,Women
Nemesis,5,Anna Thorn,,"5'6""",1,6,7,14,Women
Nemesis,6,Risa Umeno,,"5'3""",4,,3,3,Women
Nemesis,8,Christina Sur,,"5'5""",18,8,6,12,Women
Nemesis,11,Beth Daviess,,"5'7""",1,11,1,7,Women
Nemesis,12,Jennifer Corcoran,,,7,41,11,61,Women
Nemesis,13,Jessica Sipperley,,"5'5""",,3,,6,Women
Nemesis,15,Danielle Blatt,,"5'4""",21,1,6,8,Women
Nemesis,17,Erika Danckers,,,5,5,2,4,Women
Nemesis,18,Sarah Kim,,"1'0""",7,5,1,10,Women
Nemesis,19,Rachel Foster,,,8,8,6,26,Women
Nemesis,22,Jessica LeDonne,,"5'2""",12,2,2,2,Women
Nemesis,23,Emily Hadel,,,6,3,5,3,Women
Nemesis,25,MK Andersen,,,12,2,4,3,Women
Nemesis,31,Abby Shure,,,15,4,5,5,Women
Nemesis,32,Carol Li,,,4,5,2,16,Women
Nemesis,72,Jacqueline Jarik,,,9,13,15,25,Women
Nemesis,77,Sara Miller,,,9,28,6,28,Women
Nemesis,84,Sarah Lipscomb,,"1'0""",21,4,3,4,Women
Nemesis,94,Emilie Willingham,,"5'9""",8,15,1,10,Women
Rival,2,Nancy Haskell,,,22,9,10,7,Women
Rival,3,Molly Barlow,,,10,5,2,10,Women
Rival,5,Stephanie (Stevie) Miller,,"5'6""",1,4,,4,Women
Rival,6,Corinn Pruitt,,"5'6""",9,13,9,18,Women
Rival,7,Sara Nitz,,,17,1,4,4,Women
Rival,8,Becky Moore,,"5'8""",20,9,3,10,Women
Rival,9,Janine Walker,,,,1,2,8,Women
Rival,10,Kristen Smiach,,,22,10,7,6,Women
Rival,11,Tracey Lo,,"4'4""",,,,,Women
Rival,12,Jessica Mast,,,,9,1,15,Women
Rival,14,Theresa Zettner,,,3,10,2,10,Women
Rival,15,Brittany Wright,,"5'4""",15,7,1,6,Women
Rival,16,Sarah Craycraft,,,4,,1,1,Women
Rival,18,Caitlin Harley,,,11,15,4,32,Women
Rival,20,Sophia Knowles,,"5'9""",21,46,6,29,Women
Rival,21,Mallory Griffith,,"5'5""",5,1,1,4,Women
Rival,22,Talia Barth,,"5'9""",11,21,4,25,Women
Rival,23,Nichole Kwee,,,3,10,2,23,Women
Rival,24,Julia Weinert,,"5'7""",11,3,1,8,Women
Rival,30,Mackenzie Fazekas,,,,9,,9,Women
Rival,31,Sara Scott,,,7,9,4,12,Women
Rival,38,Jennifer Perry,,,1,3,4,8,Women
Rival,42,Meg Duffy,,"5'4""",4,8,2,15,Women
Rival,44,Grace Denney,,"10'11""",6,4,,7,Women
Rival,66,Tia Esposito,,"5'4""",,,3,3,Women
Rival,75,Austine Lin,,,1,1,,,Women
Rival,99,Iris Javersak,,,11,5,6,10,Women
Traffic,0,Erin Bussin,"5'3""",3,2,1,2,,Women
Traffic,0,Betsy Chan,,,2,4,2,11,Women
Traffic,0,Sophia Yik Hei Chan Chan,,,11,1,6,1,Women
Traffic,0,Maria Chau,,,3,4,,4,Women
Traffic,0,Nagisa Fukuoka,,,5,8,1,7,Women
Traffic,0,Katie Hikida,,,1,7,,4,Women
Traffic,0,Catherine Hui,,,21,21,8,14,Women
Traffic,0,Laurel Jay,,,5,2,1,9,Women
Traffic,0,Megan Kidston,,"1'0""",3,3,2,1,Women
Traffic,0,Jaimie Kot,,,1,1,3,4,Women
Traffic,0,Jennifer Kwok,,"1'0""",12,7,1,3,Women
Traffic,0,Daisy Lin,,"5'4""",8,5,1,3,Women
Traffic,0,Laura Mason,,"5'8""",4,10,,,Women
Traffic,0,Victoria McCann,,,1,3,,1,Women
Traffic,0,Rachel Moens,,,9,16,6,10,Women
Traffic,0,Naomi Morcilla,,"5'3""",2,,,,Women
Traffic,0,Zellema Mot,,,1,,,,Women
Traffic,0,Michelle Ning,,,1,10,,11,Women
Traffic,0,Nicola Parker,,,2,5,2,2,Women
Traffic,0,Jessica Rockliff,,,7,11,1,11,Women
Traffic,0,Carly Sakai,,,4,1,1,2,Women
Traffic,0,Allison Short,,"5'11""",12,2,1,5,Women
Traffic,0,Nekita Sidhho,,,2,2,,,Women
Traffic,0,Louisa Thue,,,5,9,2,8,Women
Traffic,0,Terri Whitehead,,,10,8,1,4,Women
Traffic,0,Lisa Wong,,,3,2,1,7,Women
Traffic,0,Katie Wong,,,1,4,2,1,Women
Traffic,0,Julia Zhang,,"5'7""",8,1,,3,Women
Showdown,1,Katie Metzler,,,5,3,3,6,Women
Showdown,2,Elise Bjork,,,6,17,2,19,Women
Showdown,3,Domenica Sutherland,,"5'4""",1,6,3,13,Women
Showdown,4,Cameron Bryan,,,1,1,1,3,Women
Showdown,5,Andrea Esparza,,"5'3""",2,8,,9,Women
Showdown,6,Ivy Harrison,,"5'4""",1,3,,4,Women
Showdown,7,Laura Reed,,,5,4,2,6,Women
Showdown,8,Elise Franke,,"5'5""",,,,1,Women
Showdown,9,Laura Landis,,,6,3,1,8,Women
Showdown,16,Sarah Levinn,,,20,23,6,9,Women
Showdown,17,Marissa Land,,,10,4,2,8,Women
Showdown,18,Laura Gerencser,,,11,4,3,6,Women
Showdown,19,Tiffany Schumacher,,"5'8""",2,9,2,15,Women
Showdown,20,Michelle Landis,,"5'7""",,,,,Women
Showdown,21,Valerie Pinillos,,,6,7,,4,Women
Showdown,22,Julia Schmaltz,,"5'10""",15,8,3,9,Women
Showdown,23,Lillian White,,"5'5""",1,1,,,Women
Showdown,24,Susan Gilbert,,,4,1,1,2,Women
Showdown,28,Anne Ortiz,,"5'6""",3,6,1,13,Women
Showdown,28,Mindy Radike,,"5'8""",,,,,Women
Showdown,30,Kayla Ramirez,,,1,1,,,Women
Showdown,31,Ashley Shelor,,"5'6""",6,4,1,5,Women
Showdown,32,Rebecca Forth,,"1'0""",11,5,3,9,Women
Showdown,46,Helen Eifert,,"5'6""",4,3,,3,Women
Showdown,55,Bethani Eberhart,,,13,8,3,11,Women
Showdown,95,Megan Mendieta,,"5'7""",3,4,3,3,Women
Wildfire,0,Erin Crider,,,,1,1,2,Women
Wildfire,1,Sharon Tseng,Cutter,,2,1,1,2,Women
Wildfire,2,Amy Halvorsen,,,1,1,,3,Women
Wildfire,4,Kristen Pojunis,,"5'7""",2,9,2,9,Women
Wildfire,5,Caitlin O'Bara,,,,,,,Women
Wildfire,7,Katie Ogden,,"5'7""",1,1,2,1,Women
Wildfire,8,Alexa Cohen,Cutter,"5'6""",14,2,5,4,Women
Wildfire,10,Christy Jarman,,"5'10""",3,,1,1,Women
Wildfire,11,Melissa Dunn,Cutter,"5'4""",5,2,2,4,Women
Wildfire,13,Corey Atkins,Handler,,,2,,6,Women
