No.,Player,Position,Height,Points,Assists,Ds,Turns,Team,Division,Year
0,Joshua Markette,,,2,4,2,4,DiG,Men,2018
0,Eli Motycka,,'"3''0"""',,,,,DiG,Men,2018
0,Eric Shaw,,,,,,,DiG,Men,2018
0,Willie Stewart,,'"6''2"""',1,3,,3,DiG,Men,2018
2,Spencer Diamond,,,6,3,,2,DiG,Men,2018
3,Ryan Rzepka,,,,1,1,1,DiG,Men,2018
4,Tanner Halkyard,,'"6''3"""',10,4,1,2,DiG,Men,2018
5,Michael Sender,,,3,1,1,,DiG,Men,2018
8,Ben Sadok,,'"5''5"""',7,9,,7,DiG,Men,2018
9,Misha Sidorsky,,'"5''10"""',5,1,,2,DiG,Men,2018
11,Mat Little,,'"5''10"""',2,2,,3,DiG,Men,2018
12,Timothy Schoch,,'"6''1"""',2,2,,,DiG,Men,2018
13,Hartley Greenwald,,'"7''6"""',5,4,,,DiG,Men,2018
22,Ben Tseytlin,,,5,7,,1,DiG,Men,2018
27,Nicholas Thompson,,,8,2,1,4,DiG,Men,2018
64,Frederik Brasz,,,1,1,,2,DiG,Men,2018
71,Denis Maguire,,'"6''2"""',,,,,DiG,Men,2018
83,Alex Dagley,,'"6''1"""',3,,1,,DiG,Men,2018
0,John Cairns,,,,1,,,Rhino Slam,Men,2018
0,Colby Chuck,,,,1,2,2,Rhino Slam,Men,2018
0,Colton Clark,,,3,11,,5,Rhino Slam,Men,2018
0,Sam Gordon-Koven,,'"6''5"""',1,,,1,Rhino Slam,Men,2018
0,Kristian Grobecker,,'"1''0"""',3,1,2,2,Rhino Slam,Men,2018
0,Andrew Halpin,,,1,,,,Rhino Slam,Men,2018
0,Spencer Latarski,,,,,,1,Rhino Slam,Men,2018
0,Will Lohre,,,7,3,1,1,Rhino Slam,Men,2018
0,Garrett Martin,,'"5''11"""',,,,,Rhino Slam,Men,2018
0,Leandro Marx,,,1,4,3,3,Rhino Slam,Men,2018
0,Adam Rees,,,6,10,3,8,Rhino Slam,Men,2018
0,Will Shaw,,,9,11,1,3,Rhino Slam,Men,2018
0,Trevor Smith,,,5,15,1,3,Rhino Slam,Men,2018
0,Hylke Snieder,,,5,,,3,Rhino Slam,Men,2018
6,Cody Bjorklund,,,12,21,1,9,Rhino Slam,Men,2018
8,Benjamin Whitenack,,,10,5,1,3,Rhino Slam,Men,2018
9,Chris Hancock,Handler,'"5''8"""',6,2,,3,Rhino Slam,Men,2018
12,Jonathan Lee,,'"6''0"""',11,7,,1,Rhino Slam,Men,2018
13,Timmy Perston,,,4,1,,,Rhino Slam,Men,2018
15,Mario Bundy,,'"5''11"""',,1,2,1,Rhino Slam,Men,2018
17,Raphael Hayes,Cutter,,24,8,3,9,Rhino Slam,Men,2018
19,Quinn Buermeyer,,'"5''10"""',4,3,2,1,Rhino Slam,Men,2018
20,Brandon Lafferty,,,2,5,,2,Rhino Slam,Men,2018
22,Grant Cole,Defense (Handler),,1,2,,,Rhino Slam,Men,2018
30,Sam Franer,Defense (Cutter),'"5''10"""',3,1,1,1,Rhino Slam,Men,2018
40,Vinh Bui,,,1,4,1,3,Rhino Slam,Men,2018
44,Owen Murphy,,,2,15,,2,Rhino Slam,Men,2018
47,Will Beck,,'"6''1"""',5,,,,Rhino Slam,Men,2018
88,Duncan Fitzgerald,,'"6''0"""',,,,,Rhino Slam,Men,2018
91,Aaron Adamson,,,4,1,2,1,Rhino Slam,Men,2018
,Derek Alexander,,,,,,,GOAT,Men,2018
0,Connor Armstrong,,,,,,,GOAT,Men,2018
0,Jay Boychuk,,,,,,,GOAT,Men,2018
0,Benjamin Burelle,,'"5''7"""',,,,,GOAT,Men,2018
0,Jonathan (JJ) Edwards,,,,,,,GOAT,Men,2018
0,Jacky Hau,,'"6''2"""',,,,,GOAT,Men,2018
0,Nathan Hirst,,'"5''9"""',,,,,GOAT,Men,2018
0,Iain MacKenzie,,'"6''1"""',,,,,GOAT,Men,2018
0,Jeremy Norden,,,,,,,GOAT,Men,2018
0,Ben Pries,,'"5''10"""',,,,,GOAT,Men,2018
0,Marijo Zlatic,,'"6''1"""',,,,,GOAT,Men,2018
3,Andrew Carroll,,'"5''10"""',,,,,GOAT,Men,2018
4,Alec Arsenault,Cutter,'"6''0"""',,,,,GOAT,Men,2018
6,Jaret Meron,,,,,,,GOAT,Men,2018
10,Nicholas Dacquisto,Defense (Cutter),,,,,,GOAT,Men,2018
12,Remi Jr. Ojo,,'"6''1"""',,,,,GOAT,Men,2018
17,Isaiah Masek-Kelly,Cutter,,,,,,GOAT,Men,2018
18,Anatoly Vasilyev,,'"5''11"""',,,,,GOAT,Men,2018
19,Thomson McKnight,,'"6''2"""',,,,,GOAT,Men,2018
20,Jeff Lindquist,,,,,,,GOAT,Men,2018
21,Geoffrey Powell,,'"6''0"""',,,,,GOAT,Men,2018
30,Greg Ellis,Handler/Cutter,'"5''11"""',,,,,GOAT,Men,2018
43,Andrew Ouchterlony,,'"6''3"""',,,,,GOAT,Men,2018
45,David Hochhalter,,,,,,,GOAT,Men,2018
61,Sachin Raina,Handler,,,,,,GOAT,Men,2018
77,Michael MacKenzie,,,,,,,GOAT,Men,2018
83,Jason Huynh,,,,,,,GOAT,Men,2018
86,Dan LaFrance,Defense (Cutter),,,,,,GOAT,Men,2018
87,Brett Tan,,,,,,,GOAT,Men,2018
89,Mark Lloyd,Handler/Cutter,,,,,,GOAT,Men,2018
91,Cameron Harris,,,,,,,GOAT,Men,2018
0,Karl Ekwurtzel,,'"6''2"""',1,1,,,Chain Lightning,Men,2018
0,Daniel Sperling,,'"5''11"""',7,4,1,2,Chain Lightning,Men,2018
1,Will Lindquist,,,7,4,,1,Chain Lightning,Men,2018
2,Austin Taylor,,'"5''10"""',7,8,1,8,Chain Lightning,Men,2018
3,Matthew Knowles,,'"5''11"""',1,4,1,3,Chain Lightning,Men,2018
4,Player Pierce,,'"6''3"""',4,12,1,9,Chain Lightning,Men,2018
5,Michael Fairley,,'"6''4"""',3,3,1,3,Chain Lightning,Men,2018
6,Tyler Kunsa,,'"5''11"""',,,,,Chain Lightning,Men,2018
7,Parker Bray,,'"6''0"""',,1,,3,Chain Lightning,Men,2018
8,Christian Olsen,,'"5''10"""',7,9,1,1,Chain Lightning,Men,2018
9,Kyle Stapleton,,,,,,,Chain Lightning,Men,2018
10,Danny On,,'"5''6"""',3,,3,1,Chain Lightning,Men,2018
11,Christopher Calhoun,,'"5''8"""',1,,,,Chain Lightning,Men,2018
12,Matthew Smith,,,19,5,1,4,Chain Lightning,Men,2018
13,Josh Turner,,,7,6,1,3,Chain Lightning,Men,2018
14,Karl Kingma,,,,,,,Chain Lightning,Men,2018
16,Anders Olsen,,,,,,,Chain Lightning,Men,2018
19,Stanley Birdsong,,'"6''3"""',6,1,,1,Chain Lightning,Men,2018
20,Joshua Bush,,'"6''3"""',,,,,Chain Lightning,Men,2018
21,Jacques Perivier,,,1,2,,,Chain Lightning,Men,2018
22,Sean Sears,,,3,1,2,1,Chain Lightning,Men,2018
23,Sun Choi,,,,5,,1,Chain Lightning,Men,2018
25,Tyler French,,'"6''1"""',,,,1,Chain Lightning,Men,2018
27,Paul Lally,,'"10''11"""',8,18,1,4,Chain Lightning,Men,2018
29,Mason Cary,,'"6''0"""',1,1,,,Chain Lightning,Men,2018
81,Joseph Burns,,'"6''0"""',,,,,Chain Lightning,Men,2018
82,Sam Batson,,,1,,1,2,Chain Lightning,Men,2018
87,Trenton Spinks,,'"6''4"""',,1,2,,Chain Lightning,Men,2018
99,Jaime Perez,,'"6''2"""',,,,,Chain Lightning,Men,2018
0,Jacob Bartholomew,,,1,2,,,SoCal Condors,Men,2018
0,Jesse Cohen,,'"6''0"""',6,2,,,SoCal Condors,Men,2018
0,Travis Dunn,,,8,11,,,SoCal Condors,Men,2018
0,Wesley Groth,,'"6''2"""',2,,,,SoCal Condors,Men,2018
0,Aidan Hall,,,1,,,,SoCal Condors,Men,2018
0,Sean Ham,,,9,,,,SoCal Condors,Men,2018
0,Tim Okita,,'"5''8"""',2,5,,,SoCal Condors,Men,2018
0,Marcel Osborne,,'"1''0"""',,,,,SoCal Condors,Men,2018
0,Scott Radlauer,,'"6''1"""',1,,,,SoCal Condors,Men,2018
0,Kyle Rubin,,'"5''10"""',,,,,SoCal Condors,Men,2018
0,Brandon Severson,,'"6''1"""',,,,,SoCal Condors,Men,2018
0,Matt Theologidy,,'"6''1"""',,1,,,SoCal Condors,Men,2018
0,Michael Tran,,'"5''10"""',,,,,SoCal Condors,Men,2018
0,Bailey Wu,,,,,,,SoCal Condors,Men,2018
3,Conor Schofield,,'"5''8"""',1,,,,SoCal Condors,Men,2018
4,Will Griffin,,'"5''10"""',,,,,SoCal Condors,Men,2018
9,Maxwell Hume,,,1,2,,,SoCal Condors,Men,2018
10,Sean McDougall,,'"6''0"""',6,5,,,SoCal Condors,Men,2018
13,Mark Leggio,,'"1''4"""',2,1,,,SoCal Condors,Men,2018
14,William Turner,,'"5''11"""',3,1,,,SoCal Condors,Men,2018
17,Hunter Corbett,,,,,,,SoCal Condors,Men,2018
19,Jeff Silverman,,,1,,,,SoCal Condors,Men,2018
24,David Ritchie,,,,,,,SoCal Condors,Men,2018
27,Collin Gall,,'"5''11"""',1,,,,SoCal Condors,Men,2018
55,Tyler Bacon,,'"5''8"""',2,12,,,SoCal Condors,Men,2018
88,Samuel Fontaine,,'"5''11"""',,3,,,SoCal Condors,Men,2018
91,Grant Boyd,,'"5''10"""',,,,,SoCal Condors,Men,2018
1,David Wiseman,Cutter,'"6''5"""',4,5,2,10,Madison Club,Men,2018
2,Logan Pruess,Handler,,7,5,1,3,Madison Club,Men,2018
4,Sam Hebert,Handler,'"5''9"""',1,1,,4,Madison Club,Men,2018
6,Bill Everhart,Handler,'"6''1"""',,2,,1,Madison Club,Men,2018
7,Avery Johnson,Cutter,'"5''11"""',11,5,,8,Madison Club,Men,2018
9,Andrew Meshnick,Cutter,,10,5,1,,Madison Club,Men,2018
10,Victor Luo,Handler,'"5''10"""',8,6,2,5,Madison Club,Men,2018
14,Sef Van Kan,Cutter,,1,2,,,Madison Club,Men,2018
18,Mike Kobyra,Cutter,'"5''11"""',2,1,2,2,Madison Club,Men,2018
20,Glenn Poole,Handler,'"5''9"""',3,4,,7,Madison Club,Men,2018
22,Rami Paust,Handler,,2,3,,,Madison Club,Men,2018
23,Tarik Akyuz,Cutter,,3,1,,1,Madison Club,Men,2018
24,Logan Grothus,Cutter,'"5''10"""',2,3,2,,Madison Club,Men,2018
25,Ryan Tucker,Cutter,,16,,,1,Madison Club,Men,2018
26,Peter Graffy,Cutter,,11,19,,6,Madison Club,Men,2018
27,Elliot Mawby,Cutter,'"6''4"""',,,,2,Madison Club,Men,2018
28,Noah Nicol,Cutter,,1,,,,Madison Club,Men,2018
32,Colin Camp,Cutter,'"6''2"""',9,16,,3,Madison Club,Men,2018
42,Chase Marty,Cutter,'"6''2"""',1,1,,,Madison Club,Men,2018
48,Thomas Coolidge,Cutter,'"5''8"""',8,6,3,4,Madison Club,Men,2018
66,Ted Schewe,Cutter,'"6''2"""',3,1,,2,Madison Club,Men,2018
68,Benjamin Nelson,Handler,,6,8,1,6,Madison Club,Men,2018
76,Colin Grandon,Cutter,,2,3,,,Madison Club,Men,2018
80,Kevin Pettit-Scantling,Cutter,,5,7,,1,Madison Club,Men,2018
92,Kevin Brown,Cutter,'"6''1"""',9,20,1,7,Madison Club,Men,2018
0,Andrew Kohl,,,4,,3,2,Pittsburgh Temper,Men,2018
1,Max Sheppard,,'"6''4"""',12,5,3,7,Pittsburgh Temper,Men,2018
2,Jonathan Mast,,'"6''1"""',4,7,1,7,Pittsburgh Temper,Men,2018
3,Patrick Earles,,'"6''2"""',9,21,1,12,Pittsburgh Temper,Men,2018
4,David Vatz,,'"5''9"""',1,1,,,Pittsburgh Temper,Men,2018
6,Anson Reppermund,,,3,2,3,,Pittsburgh Temper,Men,2018
7,Mark Fedorenko,,'"6''3"""',6,1,,7,Pittsburgh Temper,Men,2018
8,Thomas Edmonds,,'"1''0"""',6,29,1,12,Pittsburgh Temper,Men,2018
10,Max Thorne,,'"5''7"""',12,9,4,7,Pittsburgh Temper,Men,2018
11,Leo Warren,,,,8,,1,Pittsburgh Temper,Men,2018
12,Justin Abel,,,3,5,1,2,Pittsburgh Temper,Men,2018
14,Kenny Furdella,,,2,1,2,3,Pittsburgh Temper,Men,2018
15,Dylan Best,,,15,6,3,7,Pittsburgh Temper,Men,2018
17,Matthew Hanna,,,9,5,1,3,Pittsburgh Temper,Men,2018
24,Alexander Thomas,,'"6''0"""',6,2,1,,Pittsburgh Temper,Men,2018
27,Jasper Tom,,,5,2,3,2,Pittsburgh Temper,Men,2018
29,Hafeez Shams,,'"6''0"""',2,1,,2,Pittsburgh Temper,Men,2018
35,Dan Goldstein,,'"5''7"""',,,1,5,Pittsburgh Temper,Men,2018
38,Jonah Wisch,,,5,4,,7,Pittsburgh Temper,Men,2018
42,Marcus Ranii-Dropcho,Handler/Cutter,,8,4,,2,Pittsburgh Temper,Men,2018
43,Jake Rovner,,'"5''3"""',1,,,1,Pittsburgh Temper,Men,2018
48,Jimmy Towle,,'"5''9"""',10,6,,1,Pittsburgh Temper,Men,2018
49,Sam Vandusen,,'"6''0"""',3,13,1,6,Pittsburgh Temper,Men,2018
52,Aaron Collins,Cutter,'"6''0"""',,,,,Pittsburgh Temper,Men,2018
71,Tad Wissel,,,,1,,1,Pittsburgh Temper,Men,2018
79,Michael Ing,,,4,1,,,Pittsburgh Temper,Men,2018
81,Tyler DeGirolamo,,,18,7,2,3,Pittsburgh Temper,Men,2018
0,Timothy Gilligan,,'"5''10"""',8,6,,,Guerrilla,Men,2018
0,Jacob Greenberg,,'"6''3"""',1,1,,,Guerrilla,Men,2018
0,Jack Hamner,,'"6''3"""',1,1,,,Guerrilla,Men,2018
0,Andrew Hooker,,'"6''0"""',,4,,,Guerrilla,Men,2018
0,Caleb Merriam,,'"5''9"""',1,3,,,Guerrilla,Men,2018
0,Xavier Jacque Mignot,,,1,,,,Guerrilla,Men,2018
0,Mark Philipson,,,,,,,Guerrilla,Men,2018
0,Zach Sabin,,,4,1,,,Guerrilla,Men,2018
0,Andy Smith,,,1,2,,,Guerrilla,Men,2018
0,Jackson Stearns,,,,,,,Guerrilla,Men,2018
0,Kevin Tien,,'"6''1"""',2,,,,Guerrilla,Men,2018
2,Samuel Adamson,,,3,6,,,Guerrilla,Men,2018
3,Tommy Adams,,,,,,,Guerrilla,Men,2018
4,Shane Earley,,,,,,,Guerrilla,Men,2018
5,Matthew Crawford,,'"6''1"""',4,5,,,Guerrilla,Men,2018
6,Charles Cao,,'"6''0"""',,,,,Guerrilla,Men,2018
8,Brandon Fein,,,,2,,,Guerrilla,Men,2018
9,Andrew Moore,,'"6''0"""',9,1,,,Guerrilla,Men,2018
10,Sonny Zaccaro,,,,5,,,Guerrilla,Men,2018
12,Steven Chang SR.,,'"6''0"""',2,6,,,Guerrilla,Men,2018
13,Dillon Whited,,'"1''0"""',2,3,,,Guerrilla,Men,2018
15,Lucas Young,,,1,3,,,Guerrilla,Men,2018
18,Eric Greenwood,,'"5''6"""',4,1,,,Guerrilla,Men,2018
20,Sam Swink,,,,1,,,Guerrilla,Men,2018
24,Jason Yun,,'"5''11"""',4,,,,Guerrilla,Men,2018
31,Ethan Falat,,,4,3,,,Guerrilla,Men,2018
33,Nicholas Hirning,,,5,1,,,Guerrilla,Men,2018
42,Matt Jaffe,,'"6''1"""',,1,,,Guerrilla,Men,2018
88,Nicholas Murphy,,,2,3,,,Guerrilla,Men,2018
,Matthew Glazer,,'"5''11"""',,,,,Patrol,Men,2018
,Benjamin Johnson,,'"5''9"""',,,,,Patrol,Men,2018
,Kevin Tsui,,'"6''0"""',,,,,Patrol,Men,2018
0,Jake Butrica,,,,,,,Patrol,Men,2018
0,Reed Forman,,'"5''10"""',,,,,Patrol,Men,2018
0,Allan Michel,,,,,,,Patrol,Men,2018
0,Eric Witmer,,,,,,,Patrol,Men,2018
1,Nicholas LaRue,,,2,,,,Patrol,Men,2018
3,Paul Klimkowski,,,1,,,1,Patrol,Men,2018
8,Nick Patel,,'"5''7"""',5,2,1,2,Patrol,Men,2018
9,Himalaya Mehta,,'"6''0"""',15,8,,3,Patrol,Men,2018
10,Ethan Fortin,,,5,7,,3,Patrol,Men,2018
11,Alex Atkins,,,,8,,2,Patrol,Men,2018
13,Quinn Hunziker,,,4,7,,2,Patrol,Men,2018
16,Trevor Griesman,,'"6''2"""',,4,,1,Patrol,Men,2018
18,William (Billy) Sickles,,,11,13,2,1,Patrol,Men,2018
19,Tom Allen,,,3,1,1,8,Patrol,Men,2018
20,David Baer,,'"5''9"""',2,11,1,3,Patrol,Men,2018
21,Francisco Gomez,,'"6''5"""',,1,,,Patrol,Men,2018
24,Ethan Peck,,'"1''0"""',11,12,3,8,Patrol,Men,2018
27,Jake Rainwater,,,8,3,,3,Patrol,Men,2018
38,TJ Stanton,,'"6''0"""',1,1,,1,Patrol,Men,2018
44,'Tom O''Connor',,,1,1,,,Patrol,Men,2018
45,Nicholas DiGiorgio,,'"5''8"""',3,2,,1,Patrol,Men,2018
48,Ryan Weaver,,'"6''1"""',1,5,,4,Patrol,Men,2018
52,Connor Russell,,'"6''5"""',10,18,1,6,Patrol,Men,2018
55,Matt Paparone,,,2,1,,,Patrol,Men,2018
61,Daniel Hartsoe,,'"1''0"""',1,2,,1,Patrol,Men,2018
69,Peter Burt,,'"2''6"""',3,2,2,1,Patrol,Men,2018
76,Trevor Lynch,,'"6''1"""',2,,,,Patrol,Men,2018
77,Ryan Brown,,,9,1,,1,Patrol,Men,2018
91,Vincent Reydams,,,5,1,,,Patrol,Men,2018
96,Casey Vaughn,,'"5''11"""',,1,,,Patrol,Men,2018
,Erin Rea,,,,,,,Brute Squad,Women,2018
0,Alexandra Ode,,'"5''8"""',9,4,,1,Brute Squad,Women,2018
2,Sophie Hulbert,,,5,2,4,4,Brute Squad,Women,2018
3,Courtney Verhaalen,,,7,3,7,4,Brute Squad,Women,2018
4,Lien Hoffmann,,'"5''6"""',26,9,8,9,Brute Squad,Women,2018
5,Julianna Werffeli,,,7,16,8,18,Brute Squad,Women,2018
6,Claudia Tajima,,'"5''6"""',4,15,3,8,Brute Squad,Women,2018
7,Kami Groom,,,26,20,21,14,Brute Squad,Women,2018
10,Amber Sinicrope,,'"1''0"""',13,44,6,22,Brute Squad,Women,2018
12,Nicole Canning,,'"1''0"""',16,1,6,3,Brute Squad,Women,2018
13,Becky Malinowski,,,16,14,4,10,Brute Squad,Women,2018
14,Tulsa Douglas,,'"5''9"""',4,10,11,12,Brute Squad,Women,2018
17,Angela Zhu,,'"1''0"""',7,24,15,24,Brute Squad,Women,2018
21,Chelsea Murphy,,'"5''3"""',7,4,7,9,Brute Squad,Women,2018
22,Victoria Negus,,,4,,2,2,Brute Squad,Women,2018
26,Elana Schwam,,'"5''4"""',20,12,7,6,Brute Squad,Women,2018
27,Jessie Grignon Tomas,,'"5''7"""',27,3,4,18,Brute Squad,Women,2018
28,Shellie Cohen,,,4,9,4,11,Brute Squad,Women,2018
29,Caitlyn Lee,Handler,,20,12,8,9,Brute Squad,Women,2018
32,Megan Wilson,,,,2,,6,Brute Squad,Women,2018
37,Lauren Sadler,,'"5''2"""',4,2,6,4,Brute Squad,Women,2018
38,Hannah Henkin,,,2,2,,10,Brute Squad,Women,2018
39,Sydney Dobkin,,,,,,,Brute Squad,Women,2018
42,Rachel Kramer,Cutter,,4,6,4,1,Brute Squad,Women,2018
46,Jojo Emerson,Handler,'"1''0"""',2,17,4,12,Brute Squad,Women,2018
52,'Caitlin O''Connell',,,6,2,3,,Brute Squad,Women,2018
71,Cassandra Wong,,'"5''3"""',11,11,6,13,Brute Squad,Women,2018
83,Alyson Steinfeld,,'"5''11"""',2,7,4,8,Brute Squad,Women,2018
0,Marika Austin,,,16,2,6,3,Fury,Women,2018
0,Amel Awadelkarim,,'"5''5"""',7,11,4,7,Fury,Women,2018
0,Meeri Chang,,'"5''3"""',2,8,1,4,Fury,Women,2018
0,Diana Charrier,,,2,,2,,Fury,Women,2018
0,Lisa Couper,,,14,2,3,1,Fury,Women,2018
0,Yelena Gorlin,,,8,3,,4,Fury,Women,2018
0,Sarah Griffith,,,16,2,5,9,Fury,Women,2018
0,Kirstin Johnson,,'"5''4"""',4,7,4,11,Fury,Women,2018
0,Bethany Kaylor,,'"1''0"""',9,16,5,7,Fury,Women,2018
0,Sharon Lin,,'"5''1"""',1,,,1,Fury,Women,2018
0,Magon Liu,,'"5''4"""',7,6,2,6,Fury,Women,2018
0,Claire McKeever,,'"5''3"""',5,5,4,2,Fury,Women,2018
0,Marisa Mead,,,,5,1,4,Fury,Women,2018
0,Octavia Payne,,,7,10,6,6,Fury,Women,2018
0,Anna Reed,,,1,9,4,8,Fury,Women,2018
0,Katie Ryan,,,5,,2,,Fury,Women,2018
4,Alex Snyder,,,1,15,1,7,Fury,Women,2018
5,Kaela Helton,,,5,11,8,2,Fury,Women,2018
8,Nancy Sun,,,1,7,1,7,Fury,Women,2018
10,Genevieve Laroche,,,,,,,Fury,Women,2018
13,Cree Howard,,,14,11,4,10,Fury,Women,2018
15,Alden Fletcher,,,3,,3,3,Fury,Women,2018
20,Andrea Romano,,,1,5,1,2,Fury,Women,2018
27,Ness Fajardo,,'"5''6"""',,,,,Fury,Women,2018
33,Anna Nazarov,,,10,5,4,10,Fury,Women,2018
42,Darragh Clancy,,,9,1,1,1,Fury,Women,2018
44,Maggie Ruden,,,12,7,2,4,Fury,Women,2018
61,Lakshmi Narayan,,,10,3,4,3,Fury,Women,2018
77,Carolyn Finney,,'"1''0"""',7,22,6,16,Fury,Women,2018
0,Melissa Devlin,,,1,5,2,1,Molly Brown,Women,2018
2,Jesse Shofner,,,8,13,3,7,Molly Brown,Women,2018
3,Maggie Chen,,'"5''6"""',9,5,1,1,Molly Brown,Women,2018
4,Liza Minor,,,23,11,,8,Molly Brown,Women,2018
5,Nhi Nguyen,,'"5''5"""',11,1,1,2,Molly Brown,Women,2018
6,Samantha Peletier,,,7,5,2,4,Molly Brown,Women,2018
7,Paige Applegate,,'"5''7"""',8,21,7,14,Molly Brown,Women,2018
8,Victoria Elmore,,'"5''7"""',5,1,4,2,Molly Brown,Women,2018
10,Lauren Baecher,,,2,4,1,4,Molly Brown,Women,2018
11,Dena Slattery,,,4,17,6,2,Molly Brown,Women,2018
12,Liz Kaloupek,,'"5''5"""',10,,1,3,Molly Brown,Women,2018
13,Alika Johnston,,'"5''4"""',7,5,2,5,Molly Brown,Women,2018
15,Sara Taggart,,,10,15,3,13,Molly Brown,Women,2018
16,Megan Cousins,,'"5''6"""',,3,,,Molly Brown,Women,2018
18,Manuela Cardenas,,,11,18,6,14,Molly Brown,Women,2018
20,Kiera Lindgren,,'"5''3"""',5,3,5,5,Molly Brown,Women,2018
21,Chelsea Twohig,,'"5''6"""',10,6,5,3,Molly Brown,Women,2018
22,Allysha Dixon,,'"5''3"""',15,7,3,7,Molly Brown,Women,2018
24,Alex Hardesty,,,2,4,,1,Molly Brown,Women,2018
26,Lisa Pitcaithley,,'"3''5"""',11,22,5,17,Molly Brown,Women,2018
28,Sally Lambert,,,,,,,Molly Brown,Women,2018
31,Carolyn Vlach,,'"5''6"""',3,6,1,5,Molly Brown,Women,2018
42,Lisi Lohre,,,10,5,3,4,Molly Brown,Women,2018
44,Stacy Gaskill,,,6,1,4,2,Molly Brown,Women,2018
47,Rebecca Miller,,'"5''4"""',8,3,7,1,Molly Brown,Women,2018
49,Claire Chastain,,,2,10,8,16,Molly Brown,Women,2018
65,Megan Ives,,'"5''6"""',5,1,3,3,Molly Brown,Women,2018
91,Hannah Leathers,,,1,2,,,Molly Brown,Women,2018
97,Sarah Pesch,,,2,5,2,5,Molly Brown,Women,2018
0,Samantha Rodenberg,Cutter,'"1''0"""',7,2,,,Seattle Riot,Women,2018
1,Kelly Johnson,Handler,,6,9,5,3,Seattle Riot,Women,2018
2,Lucy Williams,,,,1,,1,Seattle Riot,Women,2018
3,Molly Sinnott,,,3,,,,Seattle Riot,Women,2018
5,Paige Soper,Handler,,1,7,,6,Seattle Riot,Women,2018
6,Sarah Griffith,Deep,,,,,,Seattle Riot,Women,2018
7,Calise Cardenas,Deep,,5,,1,3,Seattle Riot,Women,2018
8,Rachel Bradshaw,Deep,,4,2,1,,Seattle Riot,Women,2018
9,Qxhna Titcomb,Handler,'"5''7"""',,7,3,9,Seattle Riot,Women,2018
10,Shira Stern,Cutter,'"5''5"""',10,2,1,5,Seattle Riot,Women,2018
11,Nora Landri,Handler/Cutter,,2,,,2,Seattle Riot,Women,2018
12,Callie Mah,Handler,,1,1,1,,Seattle Riot,Women,2018
14,Hana Kawai,Deep,,8,8,2,4,Seattle Riot,Women,2018
15,Bailey Zahniser,Cutter,,4,2,,3,Seattle Riot,Women,2018
16,Cassandra Swafford,Handler/Cutter,,3,4,,1,Seattle Riot,Women,2018
17,Dominique Fontenette,Mid,,5,7,1,3,Seattle Riot,Women,2018
18,Madeline Gilbert,Cutter,'"1''0"""',3,,,1,Seattle Riot,Women,2018
