No.,Player,Position,Height,Points,Assists,Ds,Turns,Team,Division,Year
19,Hannah Kreilkamp,,,5,2,,2,Seattle Riot,Women,2018
20,Kristin (Charlie) Eide,Handler/Cutter,'"5''7"""',4,4,2,3,Seattle Riot,Women,2018
21,Molly McKeon,Deep,'"5''5"""',1,,1,,Seattle Riot,Women,2018
22,Jack Verzuh,Dump,'"6''0"""',11,8,,5,Seattle Riot,Women,2018
23,Aimie Kawai,Cutter,,4,1,,,Seattle Riot,Women,2018
24,Sarah Davis,Handler,,5,,,,Seattle Riot,Women,2018
25,Alyssa Weatherford,Handler,'"5''5"""',2,19,1,3,Seattle Riot,Women,2018
27,Julia Snyder,Handler,,3,8,1,4,Seattle Riot,Women,2018
29,Lindsey Wilson,,,7,2,1,1,Seattle Riot,Women,2018
31,Stephanie Lim,Handler,,5,7,,3,Seattle Riot,Women,2018
37,Claire Trop,,'"5''6"""',11,5,5,5,Seattle Riot,Women,2018
77,Jillian Goodreau,Mid,,1,,,,Seattle Riot,Women,2018
81,Charlie Mercer,Mid,,6,6,,3,Seattle Riot,Women,2018
,Katey Forth,,,10,2,3,8,Scandal,Women,2018
0,Emma Price,Dump,'"5''5"""',2,6,,9,Scandal,Women,2018
1,Lindsay Soo,Dump,'"5''8"""',15,13,11,9,Scandal,Women,2018
2,Laurel Oldershaw,Dump,'"5''2"""',5,14,6,14,Scandal,Women,2018
3,Edith Teng,Dump,,,3,,2,Scandal,Women,2018
4,Sarah Itoh,Dump,'"5''6"""',7,5,7,16,Scandal,Women,2018
5,Anne Price,Dump,,,,,,Scandal,Women,2018
6,Lisa Kowalski,Dump,'"5''7"""',6,12,7,24,Scandal,Women,2018
7,Danielle Byers,Dump,,10,,5,1,Scandal,Women,2018
8,Kristin Franke,Deep,,1,13,8,20,Scandal,Women,2018
9,'Jessica O''Connor',Dump,,10,13,5,13,Scandal,Women,2018
11,Nada Tramonte,Dump,,28,19,4,17,Scandal,Women,2018
12,Amy Zhou,Dump,'"5''2"""',11,16,10,16,Scandal,Women,2018
13,Kathleen Ratcliff,Dump,,4,31,,32,Scandal,Women,2018
14,Colleen Giglia,Dump,'"5''4"""',6,4,,2,Scandal,Women,2018
17,Caroline Tornquist,Dump,'"5''3"""',3,5,1,2,Scandal,Women,2018
19,Verena Woloson,Dump,,,1,,,Scandal,Women,2018
20,Casey Gorman,Dump,'"5''7"""',27,14,4,26,Scandal,Women,2018
22,Lauren Allen,Dump,,20,6,9,4,Scandal,Women,2018
23,Sarah Lord,Dump,'"5''5"""',8,18,4,11,Scandal,Women,2018
24,Kelly Ross,Dump,'"5''10"""',37,29,5,23,Scandal,Women,2018
25,Michelle Carey,Dump,,4,13,5,20,Scandal,Women,2018
34,Ingrid Petterson,Dump,'"5''7"""',9,,10,12,Scandal,Women,2018
44,Keila Strick,Dump,,35,16,4,10,Scandal,Women,2018
50,Hannah Boone,Dump,,9,3,3,1,Scandal,Women,2018
55,Molly Roy,Dump,,15,7,5,7,Scandal,Women,2018
0,Anouchka Beaudry,,,,,,,6ixers,Women,2018
0,Reve Chan,,,,1,,1,6ixers,Women,2018
0,Brittney Dos Santos,,'"5''7"""',9,4,3,10,6ixers,Women,2018
0,Christine Jurychuk,,,2,,1,1,6ixers,Women,2018
0,Sarah Kidd,,,5,1,2,6,6ixers,Women,2018
0,Sara Mar,,,3,3,,8,6ixers,Women,2018
0,Destin McQuillan,,'"1''0"""',3,,,4,6ixers,Women,2018
0,Lindsay Musalem,,'"1''0"""',3,,,2,6ixers,Women,2018
0,Catherine Phillips,,'"''"""',7,19,4,12,6ixers,Women,2018
0,Lana Ramic,,,1,3,1,2,6ixers,Women,2018
0,Lillian Steponaitis,,,4,1,2,4,6ixers,Women,2018
0,Erica Tucker,,,,,,,6ixers,Women,2018
1,Krystal Dos Santos,,'"5''5"""',,,4,2,6ixers,Women,2018
7,Jeannette Quach,,,2,5,2,1,6ixers,Women,2018
11,Laura Kinoshita,,,3,4,1,2,6ixers,Women,2018
14,Miriam Tingle,,,5,5,3,7,6ixers,Women,2018
16,Jessica Chen,,,2,3,4,4,6ixers,Women,2018
17,Nicolette Bertsch,,'"5''7"""',3,2,2,1,6ixers,Women,2018
20,Lauren Kimura,,'"5''8"""',9,24,7,27,6ixers,Women,2018
22,Sarah Bobak,,'"5''7"""',8,5,2,8,6ixers,Women,2018
28,Jenna McLeod,,,14,,3,1,6ixers,Women,2018
35,Molly Lewis,,,1,9,1,14,6ixers,Women,2018
51,Sarah Innes,,,6,3,1,4,6ixers,Women,2018
90,Jordan Meron,,,5,4,3,6,6ixers,Women,2018
93,Naomi Redmond,,'"5''7"""',,1,1,1,6ixers,Women,2018
,Madeleine (Maddy) Frey,,'"5''7"""',11,1,1,5,Ozone,Women,2018
,Erynn Schroeder,,'"5''6"""',15,3,8,13,Ozone,Women,2018
0,Madison Boyd,,,1,2,2,4,Ozone,Women,2018
0,Sophie Darch,,,5,10,3,14,Ozone,Women,2018
1,Alexandra Fairley,,,5,1,,3,Ozone,Women,2018
2,Emily Lloyd,,,8,2,2,5,Ozone,Women,2018
3,Paige Carver,,'"5''0"""',11,1,3,8,Ozone,Women,2018
4,Marissa Hicks,,,8,1,4,1,Ozone,Women,2018
5,Lillian Ponitz,,'"5''9"""',3,1,3,3,Ozone,Women,2018
7,Lane Siedor,,'"5''10"""',6,3,2,6,Ozone,Women,2018
8,Samantha Daugherty,,,13,6,12,6,Ozone,Women,2018
9,Anraya Palmer,,'"1''0"""',5,6,2,10,Ozone,Women,2018
11,Kristine Fedorenko,,,3,2,6,3,Ozone,Women,2018
14,Josie Veal,,,5,4,1,3,Ozone,Women,2018
15,Katelyn Travaglini,,,22,14,8,10,Ozone,Women,2018
16,Leah Tsinajinnie,,,,6,2,17,Ozone,Women,2018
19,Kayla Emrick,,,1,5,1,2,Ozone,Women,2018
20,India Stubbs,,,4,21,,16,Ozone,Women,2018
22,Paula Seville,,,5,36,8,27,Ozone,Women,2018
24,Katherine Wooten,,'"5''11"""',5,20,1,43,Ozone,Women,2018
25,Katherine Hines,,,,,,,Ozone,Women,2018
26,Catherine Woodhurst,,'"5''10"""',7,10,7,16,Ozone,Women,2018
27,Meg Harris,,,9,3,1,2,Ozone,Women,2018
32,Haley Reese,,'"5''9"""',11,9,3,8,Ozone,Women,2018
44,Mira Walker,,,,,,,Ozone,Women,2018
69,Allison Snow,,,3,,,2,Ozone,Women,2018
71,Angela Lin,,,,,,,Ozone,Women,2018
91,Jin-Mi Matsunaga,,'"5''3"""',4,,2,5,Ozone,Women,2018
99,Marie Perivier,,,2,3,1,5,Ozone,Women,2018
0,Eliza Chang,Cutter,'"5''6"""',13,5,5,5,Nightlock,Women,2018
0,Manisha Daryani,,,16,23,6,13,Nightlock,Women,2018
0,Alison Griffith,Cutter,'"5''8"""',3,2,3,5,Nightlock,Women,2018
0,Alexandra Hasan,,'"5''8"""',6,1,2,6,Nightlock,Women,2018
0,Kimberly Long,,,1,2,1,7,Nightlock,Women,2018
0,Audrey Lyman,Cutter,'"1''0"""',17,24,4,30,Nightlock,Women,2018
0,Michelle McGhee,Handler,'"5''8"""',2,6,9,17,Nightlock,Women,2018
0,Michela Meister,,,,,,,Nightlock,Women,2018
0,'Maggie O''Connor',,,3,2,,2,Nightlock,Women,2018
0,Megan Pera,,,3,4,6,6,Nightlock,Women,2018
2,Marisa Rafter,Handler,,3,16,7,23,Nightlock,Women,2018
5,Anne Gordon,Cutter,'"5''5"""',2,2,1,2,Nightlock,Women,2018
7,Claire Sharman,Cutter,,28,5,5,11,Nightlock,Women,2018
8,Rachel Habbert,Handler,'"5''4"""',8,14,9,16,Nightlock,Women,2018
10,Angela Aie,Handler,,5,10,1,17,Nightlock,Women,2018
11,Iris Leung,Cutter,,18,16,3,10,Nightlock,Women,2018
14,Emmy Kolanz,Cutter,,3,5,4,12,Nightlock,Women,2018
19,Adrienne Lemberger,Cutter,,21,16,4,2,Nightlock,Women,2018
22,Katie Swinnerton,Handler,,,7,2,10,Nightlock,Women,2018
23,Sabrina Fong,Handler,'"1''0"""',2,17,8,17,Nightlock,Women,2018
24,Natasha Won,Handler,'"5''3"""',5,16,8,20,Nightlock,Women,2018
27,Kira Lou,Cutter,'"1''0"""',18,6,4,12,Nightlock,Women,2018
42,Jackelyne Nguyen,Cutter,,8,2,1,3,Nightlock,Women,2018
51,Shayla Harris,Cutter,,20,9,15,11,Nightlock,Women,2018
96,Patricia Anderson,Handler,'"5''5"""',5,8,6,5,Nightlock,Women,2018
0,Seraphie Allen,,'"5''8"""',,1,,1,Schwa,Women,2018
0,Shea Brennan,,'"5''2"""',2,12,1,14,Schwa,Women,2018
0,Morgan Caldwell,,,10,2,1,6,Schwa,Women,2018
0,Kimber Coles,,,12,5,4,2,Schwa,Women,2018
0,Shaelynn Davis,,'"4''4"""',1,,,,Schwa,Women,2018
0,Shannon Dennehy,,'"5''6"""',4,3,,2,Schwa,Women,2018
0,Madeleine Franz,,,10,2,9,1,Schwa,Women,2018
0,Elizabeth Longmire,,,6,3,5,6,Schwa,Women,2018
0,Emery Otopalik,,'"5''7"""',2,1,2,1,Schwa,Women,2018
0,Makena Strand,,,2,3,,1,Schwa,Women,2018
0,Georgina Tetlow,,,2,3,1,3,Schwa,Women,2018
0,Katie Weatherhead,Handler,'"1''0"""',3,3,1,1,Schwa,Women,2018
1,Emily Witt,,,,,,,Schwa,Women,2018
4,Emily Flock,,,3,,,2,Schwa,Women,2018
6,Demri Horton,,,9,5,,2,Schwa,Women,2018
8,Eva Popp,,,5,16,1,13,Schwa,Women,2018
9,Brenna Bailey,,,5,4,2,5,Schwa,Women,2018
12,Mariel Hammond,,,18,22,4,8,Schwa,Women,2018
16,Kristen Rosenblum,,'"5''9"""',1,1,3,,Schwa,Women,2018
16,Jenica Villamor,,'"5''7"""',4,2,,8,Schwa,Women,2018
18,Julia Sherwood,Handler,,6,15,2,10,Schwa,Women,2018
22,Natalie Green,Handler,'"5''2"""',6,6,,3,Schwa,Women,2018
24,Aubri Bishop,,,2,2,2,4,Schwa,Women,2018
25,Lauren Truxillo,,'"1''0"""',2,6,2,7,Schwa,Women,2018
37,Beckie Zipp,,'"5''8"""',5,10,1,9,Schwa,Women,2018
77,Sara Stratton,,,3,4,3,5,Schwa,Women,2018
99,Noelle Takahashi,,'"5''6"""',6,5,3,2,Schwa,Women,2018
0,Eileen Duffner,,'"5''9"""',10,4,,11,Nemesis,Women,2018
1,Allison Fish,,,,7,5,14,Nemesis,Women,2018
2,Elizabeth Arakaki,,,2,1,6,6,Nemesis,Women,2018
4,Monica Matsumoto,,,24,19,3,13,Nemesis,Women,2018
5,Anna Thorn,,'"5''6"""',1,6,7,14,Nemesis,Women,2018
6,Risa Umeno,,'"5''3"""',4,,3,3,Nemesis,Women,2018
8,Christina Sur,,'"5''5"""',18,8,6,12,Nemesis,Women,2018
11,Beth Daviess,,'"5''7"""',1,11,1,7,Nemesis,Women,2018
12,Jennifer Corcoran,,,7,41,11,61,Nemesis,Women,2018
13,Jessica Sipperley,,'"5''5"""',,3,,6,Nemesis,Women,2018
15,Danielle Blatt,,'"5''4"""',21,1,6,8,Nemesis,Women,2018
17,Erika Danckers,,,5,5,2,4,Nemesis,Women,2018
18,Sarah Kim,,'"1''0"""',7,5,1,10,Nemesis,Women,2018
19,Rachel Foster,,,8,8,6,26,Nemesis,Women,2018
22,Jessica LeDonne,,'"5''2"""',12,2,2,2,Nemesis,Women,2018
23,Emily Hadel,,,6,3,5,3,Nemesis,Women,2018
25,MK Andersen,,,12,2,4,3,Nemesis,Women,2018
31,Abby Shure,,,15,4,5,5,Nemesis,Women,2018
32,Carol Li,,,4,5,2,16,Nemesis,Women,2018
72,Jacqueline Jarik,,,9,13,15,25,Nemesis,Women,2018
77,Sara Miller,,,9,28,6,28,Nemesis,Women,2018
84,Sarah Lipscomb,,'"1''0"""',21,4,3,4,Nemesis,Women,2018
94,Emilie Willingham,,'"5''9"""',8,15,1,10,Nemesis,Women,2018
2,Nancy Haskell,,,22,9,10,7,Rival,Women,2018
3,Molly Barlow,,,10,5,2,10,Rival,Women,2018
5,Stephanie (Stevie) Miller,,'"5''6"""',1,4,,4,Rival,Women,2018
6,Corinn Pruitt,,'"5''6"""',9,13,9,18,Rival,Women,2018
7,Sara Nitz,,,17,1,4,4,Rival,Women,2018
8,Becky Moore,,'"5''8"""',20,9,3,10,Rival,Women,2018
9,Janine Walker,,,,1,2,8,Rival,Women,2018
10,Kristen Smiach,,,22,10,7,6,Rival,Women,2018
11,Tracey Lo,,'"4''4"""',,,,,Rival,Women,2018
12,Jessica Mast,,,,9,1,15,Rival,Women,2018
14,Theresa Zettner,,,3,10,2,10,Rival,Women,2018
15,Brittany Wright,,'"5''4"""',15,7,1,6,Rival,Women,2018
16,Sarah Craycraft,,,4,,1,1,Rival,Women,2018
18,Caitlin Harley,,,11,15,4,32,Rival,Women,2018
20,Sophia Knowles,,'"5''9"""',21,46,6,29,Rival,Women,2018
21,Mallory Griffith,,'"5''5"""',5,1,1,4,Rival,Women,2018
22,Talia Barth,,'"5''9"""',11,21,4,25,Rival,Women,2018
23,Nichole Kwee,,,3,10,2,23,Rival,Women,2018
24,Julia Weinert,,'"5''7"""',11,3,1,8,Rival,Women,2018
30,Mackenzie Fazekas,,,,9,,9,Rival,Women,2018
31,Sara Scott,,,7,9,4,12,Rival,Women,2018
38,Jennifer Perry,,,1,3,4,8,Rival,Women,2018
42,Meg Duffy,,'"5''4"""',4,8,2,15,Rival,Women,2018
44,Grace Denney,,'"10''11"""',6,4,,7,Rival,Women,2018
66,Tia Esposito,,'"5''4"""',,,3,3,Rival,Women,2018
75,Austine Lin,,,1,1,,,Rival,Women,2018
99,Iris Javersak,,,11,5,6,10,Rival,Women,2018
0,Erin Bussin,,'"5''3"""',3,2,1,2,Traffic,Women,2018
0,Betsy Chan,,,2,4,2,11,Traffic,Women,2018
0,Sophia Yik Hei Chan Chan,,,11,1,6,1,Traffic,Women,2018
0,Maria Chau,,,3,4,,4,Traffic,Women,2018
0,Nagisa Fukuoka,,,5,8,1,7,Traffic,Women,2018
0,Katie Hikida,,,1,7,,4,Traffic,Women,2018
0,Catherine Hui,,,21,21,8,14,Traffic,Women,2018
0,Laurel Jay,,,5,2,1,9,Traffic,Women,2018
0,Megan Kidston,,'"1''0"""',3,3,2,1,Traffic,Women,2018
0,Jaimie Kot,,,1,1,3,4,Traffic,Women,2018
0,Jennifer Kwok,,'"1''0"""',12,7,1,3,Traffic,Women,2018
0,Daisy Lin,,'"5''4"""',8,5,1,3,Traffic,Women,2018
0,Laura Mason,,'"5''8"""',4,10,,,Traffic,Women,2018
0,Victoria McCann,,,1,3,,1,Traffic,Women,2018
0,Rachel Moens,,,9,16,6,10,Traffic,Women,2018
0,Naomi Morcilla,,'"5''3"""',2,,,,Traffic,Women,2018
0,Zellema Mot,,,1,,,,Traffic,Women,2018
0,Michelle Ning,,,1,10,,11,Traffic,Women,2018
0,Nicola Parker,,,2,5,2,2,Traffic,Women,2018
0,Jessica Rockliff,,,7,11,1,11,Traffic,Women,2018
0,Carly Sakai,,,4,1,1,2,Traffic,Women,2018
0,Allison Short,,'"5''11"""',12,2,1,5,Traffic,Women,2018
0,Nekita Sidhho,,,2,2,,,Traffic,Women,2018
0,Louisa Thue,,,5,9,2,8,Traffic,Women,2018
0,Terri Whitehead,,,10,8,1,4,Traffic,Women,2018
0,Lisa Wong,,,3,2,1,7,Traffic,Women,2018
0,Katie Wong,,,1,4,2,1,Traffic,Women,2018
0,Julia Zhang,,'"5''7"""',8,1,,3,Traffic,Women,2018
0,Victoria Bailey,,,,,,,Stella,Women,2018
0,JULIE BOISVERT,,,,,,,Stella,Women,2018
0,Melissa Dunbar,,'"5''4"""',,,,,Stella,Women,2018
0,Alyssa Mason,,,,,,,Stella,Women,2018
0,MEGAN THOMAS,,,,,,,Stella,Women,2018
0,Becky Thompson,,'"5''6"""',,,,,Stella,Women,2018
0,Brianna VanderGriendt,,,,,,,Stella,Women,2018
1,STEPHANIE COLE,,'"5''0"""',,,,,Stella,Women,2018
2,Alisha Zhao,,,,,,,Stella,Women,2018
4,HANNAH DAWSON,,,,,,,Stella,Women,2018
6,Samantha Morris,,'"5''8"""',,,,,Stella,Women,2018
7,KATE ACHTELL,,,,,,,Stella,Women,2018
8,Taylor Stanojev,,'"5''9"""',,,,,Stella,Women,2018
10,Wynne Gee,,,,,,,Stella,Women,2018
11,Kristie Ellis,,,,,,,Stella,Women,2018
12,Anika Gnaedinger,,,,,,,Stella,Women,2018
16,Danielle Cantal,,,,,,,Stella,Women,2018
17,Alicia Racine,,'"5''9"""',,,,,Stella,Women,2018
18,ALLISON VERNEY,,,,,,,Stella,Women,2018
21,Hannah Lewis,,,,,,,Stella,Women,2018
22,MARIE-EVE GAUVIN,,,,,,,Stella,Women,2018
23,MARIE-CHRISTINE JACQUES,,,,,,,Stella,Women,2018
28,Brittney Cooke,,'"5''4"""',,,,,Stella,Women,2018
33,Emily Scott,,,,,,,Stella,Women,2018
39,CASSANDRA JAFFRAY,,'"1''0"""',,,,,Stella,Women,2018
40,Ainsley Shannon,,,,,,,Stella,Women,2018
55,Abby Millar,,,,,,,Stella,Women,2018
67,Jessie Robinson,,'"5''5"""',,,,,Stella,Women,2018
89,BRIANNA JAFFRAY,,'"1''0"""',,,,,Stella,Women,2018
91,Anne-Martine Doucet,,,,,,,Stella,Women,2018
93,Galadrielle Michaud,,,,,,,Stella,Women,2018
1,Katie Metzler,,,5,3,3,6,Showdown,Women,2018
2,Elise Bjork,,,6,17,2,19,Showdown,Women,2018
3,Domenica Sutherland,,'"5''4"""',1,6,3,13,Showdown,Women,2018
4,Cameron Bryan,,,1,1,1,3,Showdown,Women,2018
5,Andrea Esparza,,'"5''3"""',2,8,,9,Showdown,Women,2018
6,Ivy Harrison,,'"5''4"""',1,3,,4,Showdown,Women,2018
7,Laura Reed,,,5,4,2,6,Showdown,Women,2018
8,Elise Franke,,'"5''5"""',,,,1,Showdown,Women,2018
9,Laura Landis,,,6,3,1,8,Showdown,Women,2018
16,Sarah Levinn,,,20,23,6,9,Showdown,Women,2018
17,Marissa Land,,,10,4,2,8,Showdown,Women,2018
18,Laura Gerencser,,,11,4,3,6,Showdown,Women,2018
19,Tiffany Schumacher,,'"5''8"""',2,9,2,15,Showdown,Women,2018
20,Michelle Landis,,'"5''7"""',,,,,Showdown,Women,2018
21,Valerie Pinillos,,,6,7,,4,Showdown,Women,2018
22,Julia Schmaltz,,'"5''10"""',15,8,3,9,Showdown,Women,2018
23,Lillian White,,'"5''5"""',1,1,,,Showdown,Women,2018
24,Susan Gilbert,,,4,1,1,2,Showdown,Women,2018
28,Anne Ortiz,,'"5''6"""',3,6,1,13,Showdown,Women,2018
28,Mindy Radike,,'"5''8"""',,,,,Showdown,Women,2018
30,Kayla Ramirez,,,1,1,,,Showdown,Women,2018
31,Ashley Shelor,,'"5''6"""',6,4,1,5,Showdown,Women,2018
32,Rebecca Forth,,'"1''0"""',11,5,3,9,Showdown,Women,2018
46,Helen Eifert,,'"5''6"""',4,3,,3,Showdown,Women,2018
55,Bethani Eberhart,,,13,8,3,11,Showdown,Women,2018
95,Megan Mendieta,,'"5''7"""',3,4,3,3,Showdown,Women,2018
0,Erin Crider,,,,1,1,2,Wildfire,Women,2018
1,Sharon Tseng,Cutter,,2,1,1,2,Wildfire,Women,2018
2,Amy Halvorsen,,,1,1,,3,Wildfire,Women,2018
4,Kristen Pojunis,,'"5''7"""',2,9,2,9,Wildfire,Women,2018
5,'Caitlin O''Bara',,,,,,,Wildfire,Women,2018
7,Katie Ogden,,'"5''7"""',1,1,2,1,Wildfire,Women,2018
8,Alexa Cohen,Cutter,'"5''6"""',14,2,5,4,Wildfire,Women,2018
10,Christy Jarman,,'"5''10"""',3,,1,1,Wildfire,Women,2018
11,Melissa Dunn,Cutter,'"5''4"""',5,2,2,4,Wildfire,Women,2018
13,Corey Atkins,Handler,,,2,,6,Wildfire,Women,2018
14,Mei Bruist,,'"10''0"""',6,15,9,15,Wildfire,Women,2018
15,Brittany Cabriales,,'"5''5"""',,8,1,9,Wildfire,Women,2018
16,Audrey Brown,,,6,,2,3,Wildfire,Women,2018
20,Kelli Iwamoto,Handler,,6,4,1,10,Wildfire,Women,2018
25,"Lily ""Thud"" Lin",,'"5''4"""',1,1,2,8,Wildfire,Women,2018
27,Hani Pajela,,,1,,2,3,Wildfire,Women,2018
28,Stephanie Pritchard,,'"5''8"""',11,2,,5,Wildfire,Women,2018
37,Hannah Walter,,'"5''9"""',2,7,,12,Wildfire,Women,2018
44,Rayna Wachs,,,5,1,1,5,Wildfire,Women,2018
47,Dena Elimelech,,,11,5,8,7,Wildfire,Women,2018
50,Enway Melo,,'"5''3"""',2,1,,,Wildfire,Women,2018
51,Lindsay Lang,,,2,20,4,26,Wildfire,Women,2018
52,Annie Ngo,,,1,1,1,2,Wildfire,Women,2018
81,Ellen Smith,,,,,1,1,Wildfire,Women,2018
88,Veronica Eder,,'"5''10"""',8,7,5,6,Wildfire,Women,2018
0,Olivia Arellano,,,,,,,Grit,Women,2018
0,Juliet Bishop,,'"5''6"""',,,,,Grit,Women,2018
0,Jillian Du,,,,,,,Grit,Women,2018
0,Bailey Gilmore,,'"5''8"""',1,2,1,4,Grit,Women,2018
0,Marlena Luhr,,'"5''5"""',,,,,Grit,Women,2018
0,Bridget Mizener,,,,,,,Grit,Women,2018
0,Maria Pascale,,,,,,,Grit,Women,2018
0,Jill Simmerman,,,,,,,Grit,Women,2018
0,Claire Smullen,,,,,,,Grit,Women,2018
0,Jasmine Strong,,,,,,,Grit,Women,2018
0,Nami Sumida,,,,,,,Grit,Women,2018
0,Shannon Tsai,,,,,,,Grit,Women,2018
2,Lauren Privette,Cutter,'"1''0"""',,,,,Grit,Women,2018
3,Katie Judd,,'"5''6"""',,,,,Grit,Women,2018
8,Anastasia Mark,,'"5''9"""',,,,,Grit,Women,2018
11,Sarah Buxbaum,Mid,,,,,,Grit,Women,2018
14,Grace Champion,,,,,,,Grit,Women,2018
16,Grace Riley-Adams,Cutter,,,,1,,Grit,Women,2018
17,Elizabeth Pugh,Handler,'"1''0"""',2,,1,2,Grit,Women,2018
18,Lukiih Cuan,,'"5''4"""',,,,,Grit,Women,2018
24,Grace Castro,Cutter,,,1,,1,Grit,Women,2018
25,Neena Kashyap,Mid,,,,,,Grit,Women,2018
37,Carolyn Clendenin,Cutter,,,,,,Grit,Women,2018
64,Becca Arbacher,Cutter,'"5''6"""',2,2,,,Grit,Women,2018
93,Kaitlin Trenerry,Cutter,,,,,,Grit,Women,2018
0,Donna Johnston,Cutter,,,,1,,Heist,Women,2018
2,Sabrina Hoffman,Handler,'"5''6"""',6,7,6,10,Heist,Women,2018
3,Sara Gnolek,Handler,'"5''8"""',3,6,4,18,Heist,Women,2018
4,Ellie Daniels,Cutter,,1,,5,1,Heist,Women,2018
5,Rose Glinka,Handler/Cutter,,16,6,1,9,Heist,Women,2018
6,Alexandra Hu,Handler/Cutter,'"5''7"""',2,1,2,9,Heist,Women,2018
7,Austin Prucha,Cutter,,50,12,9,15,Heist,Women,2018
9,Daniela Rodriguez,Handler/Cutter,,1,4,,1,Heist,Women,2018
10,Alison Vandegrift,Cutter,'"5''9"""',3,6,3,8,Heist,Women,2018
11,Melissa Gibbs,Handler/Cutter,'"5''7"""',5,5,,,Heist,Women,2018
12,Emily Orner,Handler,,,2,2,5,Heist,Women,2018
13,Brittney Kokinos,Handler/Cutter,'"5''3"""',4,3,1,8,Heist,Women,2018
14,Rachel Enyeart,Handler/Cutter,'"5''5"""',23,8,1,7,Heist,Women,2018
16,Margaret Walker,Handler/Cutter,'"5''8"""',5,14,3,16,Heist,Women,2018
17,Lindsey Waite,Cutter,'"5''5"""',3,,,,Heist,Women,2018
22,Elizabeth Lehman,Handler,,6,11,3,22,Heist,Women,2018
23,Anna Williams,Handler/Cutter,'"5''6"""',1,5,2,5,Heist,Women,2018
24,Camila Flowerman,Cutter,'"5''9"""',17,2,5,10,Heist,Women,2018
30,Jean Huang,Handler,'"5''7"""',,6,,12,Heist,Women,2018
31,Sharon Yee,Handler,,6,5,,10,Heist,Women,2018
40,Amelia Cuarenta,Handler/Cutter,'"5''6"""',18,14,6,3,Heist,Women,2018
44,Robyn Fennig,Handler,'"5''6"""',21,80,14,43,Heist,Women,2018
70,Charlotte Francoeur,Cutter,'"5''8"""',3,,,1,Heist,Women,2018
84,Sara Stuedemann,Cutter,,2,1,,3,Heist,Women,2018
87,Emily Langland,Handler,'"5''2"""',1,5,1,10,Heist,Women,2018
99,Caitlin Murphy,Cutter,'"5''5"""',8,,8,10,Heist,Women,2018
0,Katie Backus,,,,,,,Phoenix,Women,2018
